CATALUNYA;GLOBAL;2020-02-27;2020-03-04;Si;;;0.0000;0.0000;0;4.2470;3;0;0.0000;0;0;0;0;0;0;0;3;0;0;0
CATALUNYA;GLOBAL;2020-02-26;2020-03-03;--;;;0.0000;0.0000;3;0.0000;3;0;33.3333;0;0;0;3;0;1;0;3;0;0;0
CATALUNYA;GLOBAL;2020-02-26;2020-03-03;Si;;;0.0000;0.0000;0;1.4156;1;0;0.0000;0;0;0;0;0;0;0;1;0;0;0
CATALUNYA;GLOBAL;2020-02-26;2020-03-03;No;;;0.2453;0.2453;19;1.0587;81;1;2.4390;0;0;0;19;0;2;0;81;1;0;0
CATALUNYA;GLOBAL;2020-02-25;2020-03-02;--;;;0.0000;0.0000;3;0.0000;3;0;33.3333;0;0;0;3;0;1;0;3;0;0;0
CATALUNYA;GLOBAL;2020-02-25;2020-03-02;Si;;;0.0000;0.0000;0;0.0000;0;0;0.0000;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2020-02-25;2020-03-02;No;;;0.1291;0.1291;10;0.7230;55;1;3.5714;0;0;0;10;0;2;0;55;1;0;0
CATALUNYA;GLOBAL;2020-02-24;2020-03-01;No;;;0.0774;0.0774;6;0.2711;21;0;0.0000;0;0;0;6;0;0;0;21;0;0;0
CATALUNYA;GLOBAL;2020-02-24;2020-03-01;--;;;0.0000;0.0000;2;0.0000;2;0;0.0000;0;0;0;2;0;0;0;2;0;0;0
CATALUNYA;GLOBAL;2020-02-24;2020-03-01;Si;;;0.0000;0.0000;0;0.0000;0;0;0.0000;0;0;0;0;0;0;0;0;0;0;0
